가입일자,사용자코드,연령대코드,성별,가입 수
2020-12-30,USR_001,AGE_005,F,15
2020-12-30,USR_001,AGE_005,M,20
2020-12-30,USR_001,AGE_006,F,5
2020-12-30,USR_001,AGE_006,M,2
2020-12-30,USR_001,AGE_007,M,1
2020-12-30,USR_001,AGE_008,F,1
2020-12-30,USR_001,AGE_008,M,2
2020-12-31,USR_001,AGE_001,F,40
2020-12-31,USR_001,AGE_001,M,27
2020-12-31,USR_001,AGE_002,F,56
2020-12-31,USR_001,AGE_002,M,59
2020-12-31,USR_001,AGE_003,F,26
2020-12-31,USR_001,AGE_003,M,22
2020-12-31,USR_001,AGE_004,F,31
2020-12-31,USR_001,AGE_004,M,31
2020-12-31,USR_001,AGE_005,F,13
2020-12-31,USR_001,AGE_005,M,16
2020-12-31,USR_001,AGE_006,F,6
2020-12-31,USR_001,AGE_006,M,8
