'대여일자','사용자코드','성별','연령대코드','신규가입자수'
'2018-02-11','회원-내국인','M','50대',9
'2018-02-11','회원-내국인','F','60대',2
'2018-02-11','회원-내국인','M','60대',2
'2018-02-12','회원-내국인','F','~10대',9
'2018-02-12','회원-내국인','M','~10대',2
'2018-02-12','회원-내국인','F','20대',21
'2018-02-12','회원-내국인','M','20대',30
'2018-02-12','회원-내국인','F','30대',12
'2018-02-12','회원-내국인','M','30대',16
'2018-02-12','회원-내국인','F','40대',4
'2018-02-12','회원-내국인','M','40대',10
'2018-02-12','회원-내국인','F','50대',1
'2018-02-12','회원-내국인','M','50대',3
'2018-02-12','회원-내국인','F','70대~',1
'2018-02-13','회원-내국인','F','~10대',5
'2018-02-13','회원-내국인','M','~10대',8
'2018-02-13','회원-내국인','F','20대',42
'2018-02-13','회원-내국인','M','20대',45
'2018-02-13','회원-내국인','F','30대',14
'2018-02-13','회원-내국인','M','30대',15
'2018-02-13','회원-내국인','F','40대',6
'2018-02-13','회원-내국인','M','40대',14
'2018-02-13','회원-내국인','F','50대',5
'2018-02-13','회원-내국인','M','50대',6
'2018-02-13','회원-내국인','F','60대',1
'2018-02-13','회원-내국인','M','60대',2
'2018-02-13','회원-내국인','M','70대~',2
'2018-02-14','회원-내국인','F','~10대',8
'2018-02-14','회원-내국인','M','~10대',3
'2018-02-14','회원-내국인','F','20대',64
'2018-02-14','회원-내국인','M','20대',63
'2018-02-14','회원-내국인','F','30대',23
'2018-02-14','회원-내국인','M','30대',29
'2018-02-14','회원-내국인','F','40대',12
'2018-02-14','회원-내국인','M','40대',16
'2018-02-14','회원-내국인','F','50대',4
'2018-02-14','회원-내국인','M','50대',12
'2018-02-14','회원-내국인','M','60대',2
'2018-02-14','회원-내국인','F','70대~',1
'2018-02-15','회원-내국인','F','~10대',11
'2018-02-15','회원-내국인','M','~10대',18
'2018-02-15','회원-내국인','F','20대',48
'2018-02-15','회원-내국인','M','20대',48
'2018-02-15','회원-내국인','F','30대',15
'2018-02-15','회원-내국인','M','30대',23
'2018-02-15','회원-내국인','F','40대',9
'2018-02-15','회원-내국인','M','40대',23
'2018-02-15','회원-내국인','F','50대',6
'2018-02-15','회원-내국인','M','50대',7
'2018-02-15','회원-내국인','F','60대',1
'2018-02-15','회원-내국인','M','60대',4
'2018-02-16','회원-내국인','F','~10대',8
'2018-02-16','회원-내국인','M','~10대',8
'2018-02-16','회원-내국인','F','20대',66
'2018-02-16','회원-내국인','M','20대',50
'2018-02-16','회원-내국인','F','30대',24
'2018-02-16','회원-내국인','M','30대',26
'2018-02-16','회원-내국인','F','40대',24
'2018-02-16','회원-내국인','M','40대',30
'2018-02-16','회원-내국인','F','50대',5
'2018-02-16','회원-내국인','M','50대',8
'2018-02-16','회원-내국인','F','60대',2
'2018-02-16','회원-내국인','M','60대',2
'2018-02-16','회원-내국인','F','70대~',1
'2018-02-17','회원-내국인','F','~10대',10
'2018-02-17','회원-내국인','M','~10대',2
'2018-02-17','회원-내국인','F','20대',69
'2018-02-17','회원-내국인','M','20대',56
'2018-02-17','회원-내국인','F','30대',28
'2018-02-17','회원-내국인','M','30대',35
'2018-02-17','회원-내국인','F','40대',21
'2018-02-17','회원-내국인','M','40대',25
'2018-02-17','회원-내국인','F','50대',11
'2018-02-17','회원-내국인','M','50대',14
'2018-02-17','회원-내국인','F','60대',4
'2018-02-17','회원-내국인','M','60대',3
'2018-02-17','회원-내국인','F','70대~',2
'2018-02-17','회원-내국인','M','70대~',1
'2018-02-18','회원-내국인','F','~10대',10
'2018-02-18','회원-내국인','M','~10대',10
'2018-02-18','회원-내국인','F','20대',104
'2018-02-18','회원-내국인','M','20대',68
'2018-02-18','회원-내국인','F','30대',39
'2018-02-18','회원-내국인','M','30대',53
'2018-02-18','회원-내국인','F','40대',18
'2018-02-18','회원-내국인','M','40대',29
'2018-02-18','회원-내국인','F','50대',11
'2018-02-18','회원-내국인','M','50대',12
'2018-02-18','회원-내국인','F','60대',5
'2018-02-18','회원-내국인','M','60대',5
'2018-02-18','회원-내국인','F','70대~',1
'2018-02-18','회원-내국인','M','70대~',1
'2018-02-19','회원-내국인','F','~10대',11
'2018-02-19','회원-내국인','M','~10대',7
'2018-02-19','회원-내국인','F','20대',103
'2018-02-19','회원-내국인','M','20대',99
'2018-02-19','회원-내국인','F','30대',23
'2018-02-19','회원-내국인','M','30대',62
'2018-02-19','회원-내국인','F','40대',18
'2018-02-19','회원-내국인','M','40대',27
'2018-02-19','회원-내국인','F','50대',6
'2018-02-19','회원-내국인','M','50대',10
'2018-02-19','회원-내국인','F','60대',1
'2018-02-19','회원-내국인','M','60대',10
'2018-02-19','회원-내국인','F','70대~',2
'2018-02-19','회원-내국인','M','70대~',2
'2018-02-20','회원-내국인','F','~10대',9
'2018-02-20','회원-내국인','M','~10대',6
'2018-02-20','회원-내국인','F','20대',84
'2018-02-20','회원-내국인','M','20대',79
'2018-02-20','회원-내국인','F','30대',39
'2018-02-20','회원-내국인','M','30대',50
'2018-02-20','회원-내국인','F','40대',13
'2018-02-20','회원-내국인','M','40대',27
'2018-02-20','회원-내국인','F','50대',14
'2018-02-20','회원-내국인','M','50대',10
'2018-02-20','회원-내국인','F','60대',4
'2018-02-20','회원-내국인','M','60대',5
'2018-02-21','회원-내국인','F','~10대',7
'2018-02-21','회원-내국인','M','~10대',5
'2018-02-21','회원-내국인','F','20대',78
'2018-02-21','회원-내국인','M','20대',67
'2018-02-21','회원-내국인','F','30대',25
'2018-02-21','회원-내국인','M','30대',25
'2018-02-21','회원-내국인','F','40대',17
'2018-02-21','회원-내국인','M','40대',29
'2018-02-21','회원-내국인','F','50대',8
'2018-02-21','회원-내국인','M','50대',9
'2018-02-21','회원-내국인','F','60대',2
'2018-02-21','회원-내국인','M','60대',6
